	title	link	salary_min	salary_max	salary_currency	source
138	Пеший курьер (доставка документов)	https://hh.ru/vacancy/51764695	35000.0	55000.0	руб.	hh.ru
139	Хостес	https://hh.ru/vacancy/51270751	120000.0	160000.0	руб.	hh.ru
140	Менеджер по продажам спецтехники	https://hh.ru/vacancy/51804470	200000.0	500000.0	KZT	hh.ru
141	Менеджер склада	https://hh.ru/vacancy/51639953	150000.0	180000.0	KZT	hh.ru
142	Финансовый менеджер	https://hh.ru/vacancy/51853419	90000.0	100000.0	руб.	hh.ru
143	Офис-менеджер	https://hh.ru/vacancy/50876163		60000.0	руб.	hh.ru
144	Специалист по подбору персонала / Рекрутер	https://hh.ru/vacancy/51652730				hh.ru
145	Менеджер по внутреннему туризму	https://hh.ru/vacancy/51499227		180000.0	KZT	hh.ru
146	Менеджер интернет-магазина	https://hh.ru/vacancy/51689795	55000.0	85000.0	руб.	hh.ru
147	Офис-менеджер / Секретарь	https://hh.ru/vacancy/51738207	50000.0	50000.0	руб.	hh.ru
148	Корпоративный юрист (удаленно)	https://hh.ru/vacancy/51859972	45000.0	50000.0	руб.	hh.ru
149	Главный бухгалтер в единственном лице	https://hh.ru/vacancy/51891222	80000.0	90000.0	руб.	hh.ru
150	Специалист отдела кадров	https://hh.ru/vacancy/51639935				hh.ru
151	Инженер-строитель	https://hh.ru/vacancy/51697137				hh.ru
152	Интернет-маркетолог/web-аналитик	https://hh.ru/vacancy/51643745	400000.0	600000.0	KZT	hh.ru
153	Сборщик грибов	https://hh.ru/vacancy/50927150	40000.0	70000.0	руб.	hh.ru
154	Бухгалтер	https://hh.ru/vacancy/51377291		70000.0	руб.	hh.ru
155	Cпециалист поддержки (удаленно)	https://hh.ru/vacancy/50733429		40000.0	руб.	hh.ru
156	Водитель-курьер на личном автомобиле	https://hh.ru/vacancy/50017353		100000.0	руб.	hh.ru
157	Охранник	https://hh.ru/vacancy/51614110	42000.0	58000.0	руб.	hh.ru
158	Начальник склада	https://hh.ru/vacancy/51690213		100000.0	руб.	hh.ru
159	Курьер-закупщик	https://hh.ru/vacancy/51756230	100000.0	300000.0	KZT	hh.ru
160	Руководитель Технического Заказчика	https://hh.ru/vacancy/51751428	250000.0	300000.0	руб.	hh.ru
161	Проверяющий системы безопасности	https://hh.ru/vacancy/51901849		1200.0	бел.руб.	hh.ru
162	Менеджер по делопроизводству - ассистент руководителя	https://hh.ru/vacancy/51847602	150000.0	250000.0	KZT	hh.ru
163	Юрист начального уровня (стажёр) по молодежной практике	https://hh.ru/vacancy/51691270	107205.0	107205.0	KZT	hh.ru
164	Продавец-кассир	https://hh.ru/vacancy/51603453	150000.0	175000.0	KZT	hh.ru
165	Оператор отдела продаж	https://hh.ru/vacancy/51697709		50000.0	руб.	hh.ru
166	Специалист по таможенному декларированию	https://hh.ru/vacancy/51224701		1400.0	бел.руб.	hh.ru
167	Менеджер по продажам дронов; роботов; фото-видеотехники в DRONE.kz	https://hh.ru/vacancy/51404713		300000.0	KZT	hh.ru
168	Уборщик офисных помещений	https://hh.ru/vacancy/51640457	700.0	1000.0	бел.руб.	hh.ru
169	Супервайзер торговых представителей	https://hh.ru/vacancy/51699441	250000.0	400000.0	KZT	hh.ru
170	Тренер по практической стрельбе	https://hh.ru/vacancy/51852385	70000.0	110000.0	руб.	hh.ru
171	Менеджер ресторана	https://hh.ru/vacancy/51654813	55000.0	70000.0	руб.	hh.ru
172	Бухгалтер	https://hh.ru/vacancy/51768815		1500.0	бел.руб.	hh.ru
173	Офис менеджер	https://hh.ru/vacancy/51854456	60000.0	60000.0	руб.	hh.ru
174	Персональный водитель категории B на своем автомобиле	https://hh.ru/vacancy/51772736		1500.0	бел.руб.	hh.ru
175	Управляющий рестораном	https://hh.ru/vacancy/51776776	400000.0	550000.0	KZT	hh.ru
176	Менеджер по рекламе	https://hh.ru/vacancy/51839225	310000.0	400000.0	KZT	hh.ru
177	Специалист технической поддержки (удаленно)	https://hh.ru/vacancy/50486515		60000.0	руб.	hh.ru
178	Специалист обработки входящих обращений	https://hh.ru/vacancy/50945847		50000.0	руб.	hh.ru
179	Кладовщик (м. Строгино)	https://hh.ru/vacancy/51652964		60000.0	руб.	hh.ru
180	Ассистент Преподавателя (Academic Support)	https://hh.ru/vacancy/49126926	5000000.0	6000000.0	сум	hh.ru
181	Стажер / менеджер по работе с клиентами в рекламное агентство	https://hh.ru/vacancy/51649806	50000.0	120000.0	руб.	hh.ru
182	Графический дизайнер	https://hh.ru/vacancy/50520114		39560.0	руб.	hh.ru
183	HR менеджер	https://hh.ru/vacancy/51838609	200000.0	300000.0	KZT	hh.ru
184	Продавец-консультант	https://hh.ru/vacancy/49750855		2500000.0	сум	hh.ru
185	Консультант Тинькофф Банк	https://hh.ru/vacancy/50806863		44000.0	руб.	hh.ru
186	Менеджер по продажам в международный отдел	https://hh.ru/vacancy/51313789		200000.0	руб.	hh.ru
187	Специалист склада / Кладовщик	https://hh.ru/vacancy/51723078		50000.0	руб.	hh.ru
188	Администратор магазина Nike	https://hh.ru/vacancy/40808408				hh.ru
189	Менеджер по продажам расходных материалов	https://hh.ru/vacancy/51867994	70000.0	250000.0	руб.	hh.ru
190	Упаковщик\упаковщица (м.Саларьево)	https://hh.ru/vacancy/50651358	60000.0	65000.0	руб.	hh.ru
191	Водитель-экспедитор	https://hh.ru/vacancy/51734465	1500.0	2300.0	бел.руб.	hh.ru
192	Продавец	https://hh.ru/vacancy/51634702	165000.0	250000.0	KZT	hh.ru
193	Ведущий инженер-конструктор	https://hh.ru/vacancy/51686972	100000.0	150000.0	руб.	hh.ru
194	Помощник руководителя	https://hh.ru/vacancy/51366096		67000.0	руб.	hh.ru
195	Менеджер по продажам металлопроката (без поиска)	https://hh.ru/vacancy/51603477	50000.0	70000.0	руб.	hh.ru
196	Менеджер	https://hh.ru/vacancy/49230162		100000.0	руб.	hh.ru
197	Менеджер по подбору персонала	https://hh.ru/vacancy/51769792		80000.0	руб.	hh.ru
198	Официантка/Официант г. Москва	https://hh.ru/vacancy/48789528	90000.0	150000.0	руб.	hh.ru
199	Графический дизайнер	https://hh.ru/vacancy/51830830	200000.0	250000.0	KZT	hh.ru
200	Менеджер по продажам рекламы	https://hh.ru/vacancy/38756232	70000.0	130000.0	руб.	hh.ru
201	Продавец-консультант	https://hh.ru/vacancy/50747889		30000.0	руб.	hh.ru
202	Графический дизайнер	https://hh.ru/vacancy/51626735		50000.0	руб.	hh.ru
203	Менеджер по продажам УДАЛЕННО (работа из дома)	https://hh.ru/vacancy/50229242	70000.0	150000.0	руб.	hh.ru
204	Заместитель директора по логистике	https://hh.ru/vacancy/51682259				hh.ru
205	Логист	https://hh.ru/vacancy/51846185				hh.ru
206	Менеджер по продажам мужской обуви	https://hh.ru/vacancy/51757177	200000.0	350000.0	KZT	hh.ru
207	Менеджер по продажам / Продавец-консультант	https://hh.ru/vacancy/44180052	250000.0	500000.0	KZT	hh.ru
208	Продавец-консультант	https://hh.ru/vacancy/46914456	2500000.0	11000000.0	сум	hh.ru
209	Специалист по персоналу /HR менеджер	https://hh.ru/vacancy/49461533		1500.0	бел.руб.	hh.ru
210	Менеджер по работе с клиентами/администратор языковых курсов (удаленно)	https://hh.ru/vacancy/51858978	45000.0	55000.0	руб.	hh.ru
211	"Продавец-консультант в ТД ""Алем"""	https://hh.ru/vacancy/51773012	180000.0	400000.0	KZT	hh.ru
212	Начинающий специалист (удаленно)	https://hh.ru/vacancy/49974246		48000.0	руб.	hh.ru
213	Сборщик онлайн заказов	https://hh.ru/vacancy/51321996	31500.0	45000.0	руб.	hh.ru
214	Исполнительный директор	https://hh.ru/vacancy/51876305				hh.ru
215	Ассистент отдела закупок	https://hh.ru/vacancy/51696137	45000.0	60000.0	руб.	hh.ru
216	Product Manager	https://hh.ru/vacancy/51840740				hh.ru
217	Менеджер по работе с клиентами	https://hh.ru/vacancy/51731313	70000.0	200000.0	руб.	hh.ru
218	Специалист по логистике	https://hh.ru/vacancy/50553261	65000.0	75000.0	руб.	hh.ru
219	Менеджер интернет-магазина / помощник менеджера	https://hh.ru/vacancy/51775463	30000.0	60000.0	руб.	hh.ru
220	Менеджер колл-центра	https://hh.ru/vacancy/51899445	150000.0	250000.0	KZT	hh.ru
221	Официантка/Официант (в женский разряд бань)	https://hh.ru/vacancy/50108512		65000.0	руб.	hh.ru
222	Инженер ПТО	https://hh.ru/vacancy/51896687	90000.0	110000.0	руб.	hh.ru
223	Чертёжник/Помощник архитектора/дизайнера	https://hh.ru/vacancy/51727970	50000.0	70000.0	руб.	hh.ru
224	Менеджер по закупкам (Спортивные товары)	https://hh.ru/vacancy/51834286	100000.0	150000.0	руб.	hh.ru
225	Менеджер отдела импорта (алкогольная продукция)	https://hh.ru/vacancy/49475162		150000.0	руб.	hh.ru
226	Менеджер отдела продаж (удалённо)	https://hh.ru/vacancy/50925411	100000.0	150000.0	руб.	hh.ru
